"","st_abb","st_code","date","stability","ppt","tmax","tmin","tavg","dday_a0C","dday_a5C","dday_a8C","dday_a10C","dday_a12C","dday_a15C","dday_a18C","dday_a20C","dday_a21C","dday_a25C","dday_a29C","dday_a30C","dday_a31C","dday_a32C","dday_a33C","dday_a34C","dday_b15C","dday_b18C","dday_b21C"
"25141","IN",18,20180613,"stable",6.079,26.79,19.405,23.098,23.098,18.098,15.098,13.098,11.098,8.098,5.1,3.197,2.442,0.461,0.014,0.001,0,0,0,0,0,0.003,0.345
"25142","IN",18,20180614,"stable",5.162,28.436,13.354,20.895,20.895,15.895,12.895,10.895,8.926,6.323,4.165,2.965,2.436,0.791,0.046,0.008,0,0,0,0,0.428,1.27,2.541
"25143","IN",18,20180615,"stable",0.055,28.008,15.316,21.662,21.662,16.662,13.662,11.662,9.662,6.758,4.332,3.011,2.436,0.686,0.02,0.002,0,0,0,0,0.096,0.669,1.774
"25144","IN",18,20180616,"stable",0.251,30.925,18.763,24.844,24.844,19.844,16.844,14.844,12.844,9.844,6.862,5.065,4.297,1.883,0.368,0.165,0.052,0.007,0,0,0,0.018,0.453
"25145","IN",18,20180617,"stable",0.3,33.108,21.522,27.315,27.315,22.315,19.315,17.315,15.315,12.315,9.315,7.315,6.324,3.159,1.089,0.715,0.405,0.172,0.043,0.004,0,0,0.009
"25146","IN",18,20180618,"stable",0.035,33.727,23.006,28.366,28.366,23.366,20.366,18.366,16.366,13.366,10.366,8.366,7.367,3.762,1.409,0.976,0.607,0.307,0.094,0.007,0,0,0
"25147","IN",18,20180619,"stable",1.608,33.293,22.123,27.708,27.708,22.708,19.708,17.708,15.708,12.708,9.708,7.71,6.718,3.359,1.183,0.787,0.455,0.196,0.039,0.001,0,0,0.01
"25148","IN",18,20180620,"stable",12.717,31.39,20.617,26.003,26.003,21.003,18.003,16.003,14.003,11.003,8.004,6.02,5.081,2.286,0.577,0.321,0.138,0.031,0,0,0,0,0.078
"25149","IN",18,20180621,"stable",6.628,28.674,20.035,24.354,24.354,19.354,16.354,14.354,12.354,9.354,6.368,4.486,3.634,1.245,0.127,0.04,0.005,0,0,0,0,0.014,0.28
"25150","IN",18,20180622,"stable",26.354,24.521,18.065,21.293,21.293,16.293,13.293,11.293,9.293,6.293,3.352,1.869,1.364,0.272,0.004,0,0,0,0,0,0,0.059,1.071
"25151","IN",18,20180623,"stable",12.877,24.303,17.792,21.047,21.047,16.047,13.047,11.047,9.047,6.047,3.125,1.681,1.155,0.031,0,0,0,0,0,0,0,0.078,1.107
"25152","IN",18,20180624,"stable",0.587,24.281,17.576,20.929,20.929,15.929,12.929,10.929,8.929,5.929,3.04,1.626,1.091,0.087,0,0,0,0,0,0,0,0.111,1.163
"25153","IN",18,20180625,"stable",3.157,28.02,18.033,23.027,23.027,18.027,15.027,13.027,11.027,8.027,5.141,3.505,2.806,0.769,0.006,0,0,0,0,0,0,0.114,0.779
"25154","IN",18,20180626,"stable",2.988,25.869,18.289,22.079,22.079,17.079,14.079,12.079,10.079,7.079,4.218,2.576,1.885,0.223,0,0,0,0,0,0,0,0.139,0.807
"25155","IN",18,20180627,"stable",17.32,25.949,18.817,22.383,22.383,17.383,14.383,12.383,10.383,7.383,4.394,2.649,1.966,0.316,0.004,0,0,0,0,0,0,0.011,0.583
"25156","IN",18,20180628,"stable",0.617,27.8,17.914,22.857,22.857,17.857,14.857,12.857,10.857,7.857,4.988,3.399,2.72,0.77,0.035,0.005,0,0,0,0,0,0.131,0.863
"25157","IN",18,20180629,"stable",0.039,30.117,19.259,24.688,24.688,19.688,16.688,14.688,12.688,9.688,6.692,4.863,4.06,1.609,0.198,0.069,0.017,0,0,0,0,0.004,0.373
"25158","IN",18,20180630,"stable",0,32.109,21.271,26.69,26.69,21.69,18.69,16.69,14.69,11.69,8.69,6.694,5.722,2.668,0.738,0.413,0.164,0.028,0.002,0,0,0,0.032
"25159","KS",20,20180601,"stable",0.323,31.753,18.202,24.978,24.978,19.978,16.978,14.978,12.978,9.978,7.071,5.336,4.579,2.162,0.549,0.285,0.101,0.02,0.002,0,0.001,0.093,0.601
"25160","KS",20,20180602,"stable",4.155,34.775,17.468,26.121,26.121,21.121,18.121,16.121,14.123,11.161,8.327,6.665,5.912,3.377,1.501,1.132,0.807,0.533,0.324,0.181,0.04,0.206,0.79
"25161","KS",20,20180603,"stable",0.085,27.378,11.572,19.475,19.475,14.475,11.475,9.506,7.658,5.245,3.346,2.301,1.84,0.447,0.005,0,0,0,0,0,0.77,1.871,3.365
"25162","KS",20,20180604,"stable",0.095,28.856,14.635,21.745,21.745,16.745,13.745,11.745,9.747,6.853,4.495,3.23,2.671,0.895,0.025,0.002,0,0,0,0,0.108,0.75,1.926
"25163","KS",20,20180605,"stable",0.05,29.62,15.481,22.55,22.55,17.55,14.55,12.55,10.553,7.628,5.061,3.702,3.104,1.198,0.168,0.075,0.03,0.009,0.001,0,0.077,0.511,1.553
"25164","KS",20,20180606,"stable",0.161,33.265,18.475,25.87,25.87,20.87,17.87,15.87,13.87,10.87,7.884,6.098,5.332,2.821,1.052,0.735,0.486,0.304,0.17,0.083,0,0.014,0.462
"25165","KS",20,20180607,"stable",6.602,34.143,18.246,26.194,26.194,21.194,18.194,16.194,14.194,11.194,8.249,6.486,5.717,3.166,1.298,0.938,0.625,0.368,0.183,0.066,0,0.055,0.522
"25166","KS",20,20180608,"stable",1.016,29.598,17.638,23.618,23.618,18.618,15.618,13.618,11.618,8.618,5.696,4.087,3.408,1.275,0.12,0.027,0.001,0,0,0,0,0.078,0.79
"25167","KS",20,20180609,"stable",0.576,33.549,19.108,26.328,26.328,21.328,18.328,16.328,14.328,11.328,8.358,6.52,5.683,3.016,1.138,0.79,0.498,0.276,0.13,0.053,0,0.03,0.355
"25168","KS",20,20180610,"stable",0.284,35.393,20.953,28.173,28.173,23.173,20.173,18.173,16.173,13.173,10.177,8.221,7.276,4.135,1.917,1.479,1.089,0.752,0.477,0.27,0,0.004,0.103
"25169","KS",20,20180611,"stable",0.105,36.481,21.756,29.119,29.119,24.119,21.119,19.119,17.119,14.119,11.12,9.157,8.205,4.828,2.426,1.942,1.504,1.114,0.775,0.497,0,0.002,0.086
"25170","KS",20,20180612,"stable",6.48,33.77,17.791,25.78,25.78,20.78,17.78,15.78,13.78,10.837,8.067,6.38,5.618,3.082,1.277,0.94,0.653,0.419,0.239,0.112,0.057,0.287,0.838
"25171","KS",20,20180613,"stable",1.221,32.463,19.08,25.771,25.771,20.771,17.771,15.771,13.771,10.774,7.861,6.048,5.222,2.59,0.834,0.54,0.316,0.161,0.067,0.023,0.003,0.09,0.451
"25172","KS",20,20180614,"stable",1.435,32.149,20.666,26.407,26.407,21.407,18.407,16.407,14.407,11.407,8.422,6.507,5.598,2.653,0.834,0.538,0.309,0.142,0.042,0.006,0,0.014,0.19
"25173","KS",20,20180615,"stable",0.211,36.538,22.522,29.53,29.53,24.53,21.53,19.53,17.53,14.53,11.532,9.554,8.579,5.037,2.527,2.025,1.571,1.165,0.813,0.523,0,0.002,0.049
"25174","KS",20,20180616,"stable",0.323,36.488,23.096,29.792,29.792,24.792,21.792,19.792,17.792,14.792,11.792,9.792,8.797,5.147,2.566,2.054,1.592,1.182,0.828,0.539,0,0,0.006
"25175","KS",20,20180617,"stable",1.468,34.116,22.024,28.07,28.07,23.07,20.07,18.07,16.07,13.07,10.07,8.091,7.139,3.793,1.517,1.089,0.719,0.412,0.183,0.055,0,0,0.069
"25176","KS",20,20180618,"stable",0.652,33.389,21.744,27.566,27.566,22.566,19.566,17.566,15.566,12.566,9.588,7.657,6.722,3.435,1.275,0.888,0.565,0.31,0.135,0.042,0,0.021,0.156
"25177","KS",20,20180619,"stable",2.284,33.728,21.177,27.453,27.453,22.453,19.453,17.453,15.453,12.453,9.467,7.523,6.59,3.442,1.34,0.953,0.625,0.365,0.176,0.061,0,0.015,0.138
"25178","KS",20,20180620,"stable",24.815,32.42,17.485,24.953,24.953,19.953,16.953,14.953,12.953,9.969,7.161,5.529,4.789,2.38,0.763,0.493,0.288,0.145,0.055,0.011,0.016,0.209,0.836
"25179","KS",20,20180621,"stable",1.011,28.83,15.657,22.243,22.243,17.243,14.243,12.243,10.244,7.304,4.728,3.382,2.793,0.942,0.044,0.003,0,0,0,0,0.06,0.485,1.55
"25180","KS",20,20180622,"stable",0.646,27.806,15.468,21.637,21.637,16.637,13.637,11.637,9.637,6.712,4.182,2.898,2.353,0.78,0.055,0.015,0.001,0,0,0,0.075,0.545,1.716
"25181","KS",20,20180623,"stable",7.975,27.324,14.948,21.136,21.136,16.136,13.136,11.136,9.145,6.277,3.865,2.635,2.115,0.622,0.035,0.004,0,0,0,0,0.141,0.729,1.979
"25182","KS",20,20180624,"stable",9.787,30.372,16.969,23.67,23.67,18.67,15.67,13.67,11.67,8.7,5.956,4.386,3.71,1.547,0.221,0.07,0.01,0,0,0,0.03,0.286,1.039
"25183","KS",20,20180625,"stable",21.794,27.037,15.95,21.494,21.494,16.494,13.494,11.494,9.501,6.662,4.127,2.716,2.131,0.52,0.016,0.001,0,0,0,0,0.169,0.634,1.637
"25184","KS",20,20180626,"stable",1.86,28.105,17.188,22.646,22.646,17.646,14.646,12.646,10.646,7.699,4.964,3.414,2.761,0.851,0.03,0.005,0,0,0,0,0.053,0.318,1.114
"25185","KS",20,20180627,"stable",3.681,33.242,19.026,26.134,26.134,21.134,18.134,16.134,14.134,11.136,8.197,6.376,5.55,2.906,1.077,0.75,0.485,0.29,0.157,0.071,0.002,0.062,0.415
"25186","KS",20,20180628,"stable",0.001,36.321,21.252,28.787,28.787,23.787,20.787,18.787,16.787,13.787,10.787,8.813,7.87,4.638,2.312,1.844,1.421,1.046,0.724,0.458,0,0,0.084
"25187","KS",20,20180629,"stable",0.005,37.315,23.399,30.357,30.357,25.357,22.357,20.357,18.357,15.357,12.357,10.357,9.361,5.654,2.955,2.413,1.918,1.471,1.072,0.724,0,0,0.004
"25188","KS",20,20180630,"stable",0.986,35.953,22.799,29.376,29.376,24.376,21.376,19.376,17.376,14.376,11.376,9.383,8.41,4.865,2.315,1.816,1.367,0.971,0.629,0.351,0,0,0.034
"25189","KY",21,20180601,"stable",21.93,29.243,18.38,23.811,23.811,18.811,15.811,13.811,11.811,8.811,5.833,4.109,3.394,1.199,0.083,0.019,0.001,0,0,0,0,0.021,0.583
"25190","KY",21,20180602,"stable",3.763,27.85,18.758,23.304,23.304,18.304,15.304,13.304,11.304,8.304,5.316,3.572,2.85,0.814,0.048,0.008,0,0,0,0,0,0.012,0.546
"25191","KY",21,20180603,"stable",1.303,30.096,19.506,24.801,24.801,19.801,16.801,14.801,12.801,9.801,6.806,4.961,4.146,1.644,0.253,0.103,0.018,0,0,0,0,0.005,0.345
"25192","KY",21,20180604,"stable",0.792,28.123,13.324,20.723,20.723,15.723,12.723,10.723,8.724,5.996,3.889,2.735,2.224,0.627,0.001,0,0,0,0,0,0.273,1.166,2.501
"25193","KY",21,20180605,"stable",0,26.146,12.836,19.491,19.491,14.491,11.491,9.491,7.522,4.969,2.962,1.903,1.448,0.177,0,0,0,0,0,0,0.478,1.471,2.957
"25194","KY",21,20180606,"stable",0.005,27.915,13.984,20.949,20.949,15.949,12.949,10.949,8.952,6.134,3.924,2.737,2.216,0.605,0.004,0,0,0,0,0,0.184,0.975,2.266
"25195","KY",21,20180607,"stable",0,27.655,13.973,20.814,20.814,15.814,12.814,10.814,8.843,6.19,3.986,2.779,2.261,0.755,0.116,0.047,0.011,0.001,0,0,0.376,1.172,2.447
"25196","KY",21,20180608,"stable",0,29.917,16.024,22.971,22.971,17.971,14.971,12.971,10.97,8.041,5.484,4.038,3.4,1.377,0.23,0.11,0.039,0.007,0,0,0.071,0.513,1.43
"25197","KY",21,20180609,"stable",0.033,31.623,18.088,24.855,24.855,19.855,16.855,14.855,12.855,9.855,6.951,5.298,4.552,2.134,0.547,0.296,0.127,0.033,0.002,0,0,0.095,0.697
"25198","KY",21,20180610,"stable",2.513,32.143,18.738,25.44,25.44,20.44,17.44,15.44,13.44,10.44,7.451,5.651,4.873,2.377,0.686,0.4,0.184,0.053,0.004,0,0,0.011,0.433
"25199","KY",21,20180611,"stable",8.429,30.086,18.525,24.305,24.305,19.305,16.305,14.305,12.305,9.305,6.319,4.594,3.855,1.543,0.213,0.086,0.034,0.011,0.002,0,0,0.014,0.55
"25200","KY",21,20180612,"stable",12.152,28.71,19.385,24.047,24.047,19.047,16.047,14.047,12.047,9.047,6.05,4.207,3.439,1.198,0.266,0.15,0.065,0.014,0,0,0,0.003,0.392
"25201","KY",21,20180613,"stable",13.189,29.419,19.798,24.609,24.609,19.609,16.609,14.609,12.609,9.609,6.61,4.675,3.831,1.404,0.228,0.104,0.03,0.002,0,0,0,0.001,0.222
"25202","KY",21,20180614,"stable",1.002,29.065,19.284,24.174,24.174,19.174,16.174,14.174,12.174,9.174,6.206,4.361,3.561,1.2,0.068,0.014,0.002,0,0,0,0,0.032,0.387
"25203","KY",21,20180615,"stable",0.02,30.434,17.552,23.993,23.993,18.993,15.993,13.993,11.993,9.002,6.26,4.689,3.979,1.671,0.297,0.14,0.05,0.012,0.002,0,0.009,0.266,0.985
"25204","KY",21,20180616,"stable",0.154,31.492,18.073,24.782,24.782,19.782,16.782,14.782,12.782,9.784,6.966,5.311,4.563,2.133,0.574,0.344,0.182,0.075,0.017,0.001,0.002,0.184,0.78
"25205","KY",21,20180617,"stable",0.189,32.785,19.395,26.09,26.09,21.09,18.09,16.09,14.09,11.09,8.114,6.288,5.457,2.767,0.936,0.61,0.352,0.172,0.061,0.006,0,0.024,0.367
"25206","KY",21,20180618,"stable",0.175,33.584,21.113,27.349,27.349,22.349,19.349,17.349,15.349,12.349,9.349,7.36,6.397,3.329,1.251,0.865,0.536,0.276,0.101,0.015,0,0,0.049
"25207","KY",21,20180619,"stable",0.717,32.915,21.819,27.367,27.367,22.367,19.367,17.367,15.367,12.367,9.367,7.37,6.384,3.139,1.046,0.673,0.369,0.145,0.028,0.003,0,0,0.017
"25208","KY",21,20180620,"stable",1.929,32.38,21.55,26.965,26.964,21.964,18.964,16.964,14.965,11.964,8.965,6.968,5.99,2.841,0.844,0.501,0.233,0.063,0.006,0,0,0,0.026
"25209","KY",21,20180621,"stable",6.143,31.073,21.136,26.104,26.104,21.104,18.104,16.104,14.104,11.104,8.104,6.107,5.126,2.187,0.433,0.183,0.043,0.003,0,0,0,0,0.022
"25210","KY",21,20180622,"stable",12.796,26.784,19.317,23.05,23.05,18.05,15.05,13.05,11.05,8.05,5.05,3.153,2.404,0.425,0,0,0,0,0,0,0,0,0.354
"25211","KY",21,20180623,"stable",9.514,27.199,18.331,22.765,22.765,17.765,14.765,12.765,10.765,7.765,4.775,3.085,2.413,0.5,0,0,0,0,0,0,0,0.01,0.648
"25212","KY",21,20180624,"stable",4.914,28.219,19.6,23.909,23.909,18.909,15.909,13.909,11.909,8.909,5.912,3.988,3.182,0.895,0.009,0,0,0,0,0,0,0.003,0.273
"25213","KY",21,20180625,"stable",17.598,30.127,20.383,25.255,25.255,20.255,17.255,15.255,13.255,10.255,7.255,5.269,4.358,1.695,0.2,0.058,0.007,0,0,0,0,0,0.103
"25214","KY",21,20180626,"stable",14.801,27.544,20.449,23.997,23.997,18.997,15.997,13.997,11.997,8.997,5.998,4.053,3.198,0.952,0.151,0.071,0.022,0.003,0,0,0,0.001,0.202
"25215","KY",21,20180627,"stable",28.215,27.927,19.393,23.66,23.66,18.66,15.66,13.66,11.66,8.66,5.665,3.772,3.009,0.938,0.122,0.044,0.011,0.001,0,0,0,0.005,0.348
"25216","KY",21,20180628,"stable",7.407,27.915,20.586,24.25,24.25,19.25,16.25,14.25,12.25,9.25,6.251,4.276,3.378,0.987,0.118,0.049,0.012,0,0,0,0,0.001,0.128
"25217","KY",21,20180629,"stable",2.857,30.298,20.07,25.184,25.184,20.184,17.184,15.184,13.184,10.184,7.184,5.228,4.347,1.743,0.258,0.089,0.017,0.002,0,0,0,0,0.163
"25218","KY",21,20180630,"stable",0,31.834,20.093,25.963,25.963,20.963,17.963,15.963,13.963,10.963,7.963,6.005,5.122,2.392,0.62,0.329,0.117,0.015,0.001,0,0,0,0.159
"25219","LA",22,20180601,"stable",0.008,33.516,23.329,28.423,28.423,23.423,20.423,18.423,16.423,13.423,10.423,8.423,7.423,3.76,1.344,0.914,0.553,0.276,0.093,0.01,0,0,0
"25220","LA",22,20180602,"stable",0.135,34.028,23.71,28.869,28.869,23.869,20.869,18.869,16.869,13.869,10.869,8.869,7.869,4.094,1.579,1.12,0.728,0.409,0.181,0.045,0,0,0
"25221","LA",22,20180603,"stable",1.226,34.218,23.996,29.107,29.107,24.107,21.107,19.107,17.107,14.107,11.107,9.107,8.107,4.27,1.686,1.212,0.804,0.466,0.215,0.057,0,0,0
"25222","LA",22,20180604,"stable",3.127,33,21.706,27.353,27.353,22.353,19.353,17.353,15.353,12.353,9.381,7.49,6.577,3.33,1.135,0.751,0.441,0.209,0.061,0.008,0,0.028,0.224
"25223","LA",22,20180605,"stable",4.661,32.196,22.099,27.148,27.148,22.148,19.148,17.148,15.148,12.148,9.148,7.171,6.226,2.941,0.839,0.489,0.225,0.068,0.009,0,0,0,0.078
"25224","LA",22,20180606,"stable",16.144,29.672,19.491,24.582,24.582,19.582,16.582,14.582,12.582,9.582,6.584,4.742,3.937,1.5,0.244,0.116,0.038,0.004,0,0,0,0.002,0.355
"25225","LA",22,20180607,"stable",0.056,32.029,19.954,25.992,25.992,20.992,17.992,15.992,13.992,10.992,7.993,6.074,5.213,2.463,0.67,0.369,0.147,0.026,0,0,0,0.001,0.222
"25226","LA",22,20180608,"stable",0.002,33.429,21.188,27.309,27.309,22.309,19.309,17.309,15.309,12.309,9.309,7.311,6.348,3.261,1.18,0.796,0.472,0.217,0.051,0.001,0,0,0.039
"25227","LA",22,20180609,"stable",0.66,33.766,21.45,27.608,27.608,22.608,19.608,17.608,15.608,12.608,9.608,7.608,6.618,3.451,1.319,0.92,0.581,0.308,0.117,0.016,0,0,0.01
"25228","LA",22,20180610,"stable",1.159,33.315,22.008,27.662,27.661,22.661,19.661,17.661,15.661,12.661,9.661,7.661,6.666,3.367,1.184,0.791,0.462,0.214,0.061,0.001,0,0,0.004
"25229","LA",22,20180611,"stable",8.597,31.275,22.592,26.934,26.934,21.934,18.934,16.934,14.934,11.934,8.934,6.934,5.934,2.497,0.549,0.281,0.125,0.045,0.008,0,0,0,0
"25230","LA",22,20180612,"stable",3.828,32.882,22.954,27.918,27.918,22.918,19.918,17.918,15.918,12.918,9.918,7.918,6.918,3.364,1.084,0.69,0.372,0.15,0.039,0.001,0,0,0
"25231","LA",22,20180613,"stable",5.409,33.498,22.175,27.836,27.836,22.836,19.836,17.836,15.836,12.836,9.836,7.836,6.843,3.481,1.271,0.866,0.526,0.259,0.087,0.012,0,0,0.007
"25232","LA",22,20180614,"stable",7.373,33.407,22.09,27.748,27.748,22.748,19.748,17.748,15.748,12.748,9.748,7.748,6.749,3.406,1.231,0.837,0.511,0.268,0.118,0.035,0,0,0.001
"25233","LA",22,20180615,"stable",3.412,32.876,22.317,27.597,27.597,22.597,19.597,17.597,15.596,12.596,9.596,7.596,6.597,3.203,1.046,0.667,0.36,0.148,0.037,0.004,0,0,0.001
"25234","LA",22,20180616,"stable",2.991,33.033,22.689,27.861,27.861,22.861,19.861,17.861,15.861,12.861,9.861,7.861,6.861,3.352,1.129,0.738,0.424,0.201,0.067,0.006,0,0,0
"25235","LA",22,20180617,"stable",3.332,33.123,23.23,28.176,28.176,23.176,20.176,18.176,16.176,13.176,10.176,8.176,7.176,3.523,1.191,0.782,0.447,0.206,0.07,0.011,0,0,0
"25236","LA",22,20180618,"stable",3.747,31.815,22.707,27.261,27.261,22.261,19.261,17.261,15.261,12.261,9.261,7.261,6.261,2.798,0.701,0.378,0.162,0.047,0.006,0,0,0,0
"25237","LA",22,20180619,"stable",9.221,28.707,22.441,25.574,25.574,20.574,17.574,15.574,13.574,10.574,7.574,5.574,4.574,1.346,0.175,0.08,0.025,0.002,0,0,0,0,0
"25238","LA",22,20180620,"stable",7.194,30.369,23.19,26.78,26.78,21.78,18.78,16.78,14.78,11.78,8.78,6.78,5.78,2.204,0.356,0.14,0.032,0.002,0,0,0,0,0
"25239","LA",22,20180621,"stable",5.958,31.023,23.777,27.4,27.4,22.4,19.4,17.4,15.4,12.4,9.4,7.4,6.4,2.681,0.548,0.265,0.085,0.01,0,0,0,0,0
"25240","LA",22,20180622,"stable",3.467,31.398,23.958,27.678,27.678,22.678,19.678,17.678,15.678,12.678,9.678,7.678,6.678,2.898,0.651,0.348,0.15,0.041,0.001,0,0,0,0
"25241","LA",22,20180623,"stable",2.081,32.824,24.508,28.666,28.666,23.666,20.666,18.666,16.666,13.666,10.666,8.666,7.666,3.804,1.237,0.813,0.472,0.228,0.088,0.027,0,0,0
"25242","LA",22,20180624,"stable",0.011,33.538,24.593,29.066,29.066,24.066,21.066,19.066,17.066,14.066,11.066,9.066,8.066,4.169,1.469,1.001,0.612,0.316,0.125,0.031,0,0,0
"25243","LA",22,20180625,"stable",0.298,33.655,24.278,28.966,28.966,23.966,20.966,18.966,16.966,13.966,10.966,8.966,7.966,4.105,1.483,1.021,0.633,0.328,0.129,0.033,0,0,0
"25244","LA",22,20180626,"stable",0.293,34.149,23.663,28.906,28.906,23.906,20.906,18.906,16.906,13.906,10.906,8.906,7.906,4.144,1.631,1.168,0.768,0.437,0.19,0.047,0,0,0
"25245","LA",22,20180627,"stable",0.64,34.563,24.198,29.381,29.381,24.381,21.381,19.381,17.381,14.381,11.381,9.381,8.381,4.507,1.848,1.357,0.93,0.571,0.294,0.109,0,0,0
"25246","LA",22,20180628,"stable",0.451,34.535,24.788,29.661,29.661,24.661,21.661,19.661,17.661,14.661,11.661,9.661,8.661,4.71,1.9,1.393,0.954,0.592,0.316,0.131,0,0,0
"25247","LA",22,20180629,"stable",0.409,34.783,24.545,29.664,29.664,24.664,21.664,19.664,17.664,14.664,11.664,9.664,8.664,4.758,1.987,1.477,1.032,0.656,0.361,0.158,0,0,0
"25248","LA",22,20180630,"stable",1.465,34.769,23.937,29.353,29.353,24.353,21.353,19.353,17.353,14.353,11.353,9.353,8.353,4.53,1.916,1.428,1.002,0.643,0.363,0.175,0,0,0
"25249","MA",25,20180601,"stable",0.255,25.855,15.738,20.796,20.796,15.796,12.796,10.796,8.796,5.827,3.325,2.1,1.593,0.243,0,0,0,0,0,0,0.03,0.529,1.796
"25250","MA",25,20180602,"stable",1.338,25.655,17.862,21.759,21.759,16.759,13.759,11.759,9.759,6.759,3.83,2.301,1.696,0.168,0,0,0,0,0,0,0,0.071,0.938
"25251","MA",25,20180603,"stable",0.33,27.532,11.539,19.536,19.535,14.535,11.535,9.535,7.603,5.25,3.374,2.333,1.873,0.475,0,0,0,0,0,0,0.715,1.838,3.338
"25252","MA",25,20180604,"stable",7.459,19.002,7.686,13.344,13.344,8.344,5.409,3.802,2.531,1.1,0.297,0.071,0.013,0,0,0,0,0,0,0,2.757,4.953,7.67
"25253","MA",25,20180605,"stable",12.418,12.602,8.229,10.415,10.415,5.415,2.514,0.964,0.126,0,0,0,0,0,0,0,0,0,0,0,4.585,7.585,10.585
"25254","MA",25,20180606,"stable",3.379,17.557,8.708,13.133,13.133,8.132,5.197,3.501,2.11,0.693,0.071,0.002,0,0,0,0,0,0,0,0,2.56,4.938,7.867
"25255","MA",25,20180607,"stable",0.004,19.128,9.928,14.528,14.528,9.528,6.53,4.571,2.975,1.261,0.223,0.002,0,0,0,0,0,0,0,0,1.733,3.695,6.472
"25256","MA",25,20180608,"stable",0,20.695,10.529,15.612,15.612,10.612,7.612,5.629,3.875,1.957,0.65,0.134,0.026,0,0,0,0,0,0,0,1.345,3.038,5.414
"25257","MA",25,20180609,"stable",0.075,25.241,11.812,18.526,18.526,13.527,10.527,8.535,6.628,4.24,2.437,1.491,1.095,0.082,0,0,0,0,0,0,0.714,1.911,3.568
"25258","MA",25,20180610,"stable",0,25.245,11.22,18.232,18.232,13.232,10.232,8.256,6.417,4.137,2.379,1.446,1.051,0.064,0,0,0,0,0,0,0.905,2.147,3.819
"25259","MA",25,20180611,"stable",0,22.486,10.614,16.55,16.55,11.55,8.55,6.559,4.773,2.742,1.239,0.524,0.272,0,0,0,0,0,0,0,1.192,2.689,4.721
"25260","MA",25,20180612,"stable",0,21.552,8.626,15.089,15.089,10.089,7.095,5.3,3.849,2.109,0.834,0.28,0.111,0,0,0,0,0,0,0,2.02,3.745,6.022
"25261","MA",25,20180613,"stable",0,24.819,11.725,18.272,18.272,13.272,10.272,8.277,6.381,4.014,2.243,1.325,0.949,0.049,0,0,0,0,0,0,0.742,1.971,3.677
"25262","MA",25,20180614,"stable",0.586,22.353,16.099,19.226,19.226,14.226,11.226,9.226,7.226,4.247,1.79,0.738,0.398,0.001,0,0,0,0,0,0,0.021,0.564,2.172
"25263","MA",25,20180615,"stable",0.317,24.454,13.203,18.828,18.828,13.828,10.828,8.828,6.828,4.157,2.251,1.284,0.892,0.065,0,0,0,0,0,0,0.329,1.423,3.064
"25264","MA",25,20180616,"stable",0.241,19.917,9.834,14.876,14.876,9.876,6.886,5.017,3.388,1.56,0.375,0.029,0,0,0,0,0,0,0,0,1.684,3.5,6.124
"25265","MA",25,20180617,"stable",0,27.42,11.819,19.62,19.619,14.62,11.62,9.628,7.728,5.294,3.379,2.324,1.859,0.448,0,0,0,0,0,0,0.674,1.759,3.239
"25266","MA",25,20180618,"stable",0,29.962,15.323,22.643,22.643,17.643,14.643,12.643,10.643,7.689,5.162,3.82,3.224,1.29,0.164,0.044,0.001,0,0,0,0.046,0.519,1.581
"25267","MA",25,20180619,"stable",14.819,30.598,19.149,24.873,24.873,19.873,16.874,14.874,12.874,9.874,6.883,5.048,4.257,1.87,0.446,0.233,0.085,0.014,0,0,0,0.009,0.383
"25268","MA",25,20180620,"stable",0,26.665,10.851,18.758,18.758,13.758,10.758,8.78,6.937,4.713,2.931,1.951,1.523,0.28,0,0,0,0,0,0,0.955,2.173,3.765
"25269","MA",25,20180621,"stable",0.057,25.479,13.385,19.432,19.432,14.432,11.432,9.432,7.488,4.872,2.791,1.727,1.281,0.162,0,0,0,0,0,0,0.44,1.359,2.85
"25270","MA",25,20180622,"stable",0.017,26.697,11.405,19.051,19.051,14.051,11.051,9.079,7.226,4.871,3.013,2.005,1.567,0.302,0,0,0,0,0,0,0.82,1.962,3.516
"25271","MA",25,20180623,"stable",0.335,24.637,12.677,18.657,18.657,13.657,10.657,8.657,6.68,4.121,2.251,1.294,0.902,0.017,0,0,0,0,0,0,0.464,1.595,3.245
"25272","MA",25,20180624,"stable",1.952,17.276,13.148,15.212,15.212,10.212,7.212,5.212,3.216,0.81,0.004,0,0,0,0,0,0,0,0,0,0.597,2.792,5.788
"25273","MA",25,20180625,"stable",15.454,24.861,15.21,20.036,20.036,15.036,12.036,10.036,8.036,5.076,2.714,1.586,1.129,0.052,0,0,0,0,0,0,0.04,0.679,2.093
"25274","MA",25,20180626,"stable",0.13,22.928,8.066,15.497,15.497,10.497,7.608,5.891,4.429,2.644,1.267,0.584,0.327,0,0,0,0,0,0,0,2.147,3.77,5.83
"25275","MA",25,20180627,"stable",0.004,24.963,12.614,18.789,18.789,13.789,10.789,8.792,6.892,4.385,2.429,1.432,1.017,0.034,0,0,0,0,0,0,0.596,1.64,3.228
"25276","MA",25,20180628,"stable",20.436,23.722,16.197,19.959,19.959,14.959,11.959,9.959,7.959,4.986,2.463,1.249,0.794,0.004,0,0,0,0,0,0,0.027,0.503,1.835
